year,period,label,value,cpi_yoy_change,avg_mfn_rate,codes_with_tariffs
2023,M01,2023 Jan,299.17,,474.49827322167823,12667
2023,M02,2023 Feb,300.84,,474.49827322167823,12667
2023,M03,2023 Mar,301.836,,474.49827322167823,12667
2023,M04,2023 Apr,303.363,,474.49827322167823,12667
2023,M05,2023 May,304.127,,474.49827322167823,12667
2023,M06,2023 Jun,305.109,,474.49827322167823,12667
2023,M07,2023 Jul,305.691,,474.49827322167823,12667
2023,M08,2023 Aug,307.026,,474.49827322167823,12667
2023,M09,2023 Sep,307.789,,474.49827322167823,12667
2023,M10,2023 Oct,307.671,,474.49827322167823,12667
2023,M11,2023 Nov,307.051,,474.49827322167823,12667
2023,M12,2023 Dec,306.746,,474.49827322167823,12667
2024,M01,2024 Jan,308.417,3.09,363.63028424524526,12514
2024,M02,2024 Feb,310.326,3.15,363.63028424524526,12514
2024,M03,2024 Mar,312.332,3.48,363.63028424524526,12514
2024,M04,2024 Apr,313.548,3.36,363.63028424524526,12514
2024,M05,2024 May,314.069,3.27,363.63028424524526,12514
2024,M06,2024 Jun,314.175,2.97,363.63028424524526,12514
2024,M07,2024 Jul,314.54,2.89,363.63028424524526,12514
2024,M08,2024 Aug,314.796,2.53,363.63028424524526,12514
2024,M09,2024 Sep,315.301,2.44,363.63028424524526,12514
2024,M10,2024 Oct,315.664,2.6,363.63028424524526,12514
2024,M11,2024 Nov,315.493,2.75,363.63028424524526,12514
2024,M12,2024 Dec,315.605,2.89,363.63028424524526,12514
2025,M01,2025 Jan,317.671,3.0,515.5818955350649,12705
2025,M02,2025 Feb,319.082,2.82,515.5818955350649,12705
2025,M03,2025 Mar,319.799,2.39,515.5818955350649,12705
2025,M04,2025 Apr,320.795,2.31,515.5818955350649,12705
2025,M05,2025 May,321.465,2.35,515.5818955350649,12705
2025,M06,2025 Jun,322.561,2.67,515.5818955350649,12705
2025,M07,2025 Jul,323.048,2.7,515.5818955350649,12705
2025,M08,2025 Aug,323.976,2.92,515.5818955350649,12705
2025,M09,2025 Sep,324.8,3.01,515.5818955350649,12705
2025,M10,2025 Oct,,,515.5818955350649,12705
2025,M11,2025 Nov,324.122,2.74,515.5818955350649,12705
2025,M12,2025 Dec,324.054,2.68,515.5818955350649,12705
