category,year,mean_value,mean_cpi_yoy,series_count,avg_mfn_rate,codes_with_tariffs
All Items,2023,428.52036790606655,1.75125,1022,474.49827322167823,12667
All Items,2024,441.9044246575342,3.0375907590759077,1022,363.63028424524526,12514
All Items,2025,454.2040260416667,3.1368175582990396,1022,515.5818955350649,12705
All Other Services Goods,2023,291.78221791767555,2.4177142857142857,826,474.49827322167823,12667
All Other Services Goods,2024,305.02014093137257,3.7745934379457915,816,363.63028424524526,12514
All Other Services Goods,2025,317.20740951122855,3.3128043143297385,815,515.5818955350649,12705
Apparel,2023,128.58308664772727,2.0973076923076923,704,474.49827322167823,12667
Apparel,2024,129.32950994318182,0.5353194888178914,704,363.63028424524526,12514
Apparel,2025,129.95897094801222,0.31600694444444444,704,515.5818955350649,12705
Commodities Services Special,2023,263.62690961761297,1.868,1726,474.49827322167823,12667
Commodities Services Special,2024,268.68979142526075,1.3640487474610699,1726,363.63028424524526,12514
Commodities Services Special,2025,272.89088819875775,1.1588170462894931,1726,515.5818955350649,12705
Food,2023,268.78207712350184,0.8533552631578948,3838,474.49827322167823,12667
Food,2024,272.61443828125,1.4346686390532546,3840,363.63028424524526,12514
Food,2025,279.4156444007859,2.3337177835051546,3832,515.5818955350649,12705
Housing,2023,230.14363088057902,-1.0498591549295775,1658,474.49827322167823,12667
Housing,2024,233.84326386349784,0.5443110795454545,1641,363.63028424524526,12514
Housing,2025,240.9596489714665,2.6752782071097374,1622,515.5818955350649,12705
Medical,2023,393.05766826923076,0.5522222222222223,624,474.49827322167823,12667
Medical,2024,405.9128662316476,3.0962218045112784,613,363.63028424524526,12514
Medical,2025,420.61886569872956,2.722426778242678,594,515.5818955350649,12705
Transportation,2023,253.02025098039215,2.7398275862068964,1275,474.49827322167823,12667
Transportation,2024,252.765376284585,-0.8811666666666667,1265,363.63028424524526,12514
Transportation,2025,249.34213847429518,-0.4411798839458414,1261,515.5818955350649,12705
