series_id,year,period,label,value,year_month,label_clean,value_lag12,cpi_yoy_change
CUUR0000SA0,2023,M01,2023 Jan,299.17,2023-M01,2023_jan,,
CUUR0000SA0,2023,M02,2023 Feb,300.84,2023-M02,2023_feb,,
CUUR0000SA0,2023,M03,2023 Mar,301.836,2023-M03,2023_mar,,
CUUR0000SA0,2023,M04,2023 Apr,303.363,2023-M04,2023_apr,,
CUUR0000SA0,2023,M05,2023 May,304.127,2023-M05,2023_may,,
CUUR0000SA0,2023,M06,2023 Jun,305.109,2023-M06,2023_jun,,
CUUR0000SA0,2023,M07,2023 Jul,305.691,2023-M07,2023_jul,,
CUUR0000SA0,2023,M08,2023 Aug,307.026,2023-M08,2023_aug,,
CUUR0000SA0,2023,M09,2023 Sep,307.789,2023-M09,2023_sep,,
CUUR0000SA0,2023,M10,2023 Oct,307.671,2023-M10,2023_oct,,
CUUR0000SA0,2023,M11,2023 Nov,307.051,2023-M11,2023_nov,,
CUUR0000SA0,2023,M12,2023 Dec,306.746,2023-M12,2023_dec,,
CUUR0000SA0,2024,M01,2024 Jan,308.417,2024-M01,2024_jan,299.17,3.09
CUUR0000SA0,2024,M02,2024 Feb,310.326,2024-M02,2024_feb,300.84,3.15
CUUR0000SA0,2024,M03,2024 Mar,312.332,2024-M03,2024_mar,301.836,3.48
CUUR0000SA0,2024,M04,2024 Apr,313.548,2024-M04,2024_apr,303.363,3.36
CUUR0000SA0,2024,M05,2024 May,314.069,2024-M05,2024_may,304.127,3.27
CUUR0000SA0,2024,M06,2024 Jun,314.175,2024-M06,2024_jun,305.109,2.97
CUUR0000SA0,2024,M07,2024 Jul,314.54,2024-M07,2024_jul,305.691,2.89
CUUR0000SA0,2024,M08,2024 Aug,314.796,2024-M08,2024_aug,307.026,2.53
CUUR0000SA0,2024,M09,2024 Sep,315.301,2024-M09,2024_sep,307.789,2.44
CUUR0000SA0,2024,M10,2024 Oct,315.664,2024-M10,2024_oct,307.671,2.6
CUUR0000SA0,2024,M11,2024 Nov,315.493,2024-M11,2024_nov,307.051,2.75
CUUR0000SA0,2024,M12,2024 Dec,315.605,2024-M12,2024_dec,306.746,2.89
CUUR0000SA0,2025,M01,2025 Jan,317.671,2025-M01,2025_jan,308.417,3.0
CUUR0000SA0,2025,M02,2025 Feb,319.082,2025-M02,2025_feb,310.326,2.82
CUUR0000SA0,2025,M03,2025 Mar,319.799,2025-M03,2025_mar,312.332,2.39
CUUR0000SA0,2025,M04,2025 Apr,320.795,2025-M04,2025_apr,313.548,2.31
CUUR0000SA0,2025,M05,2025 May,321.465,2025-M05,2025_may,314.069,2.35
CUUR0000SA0,2025,M06,2025 Jun,322.561,2025-M06,2025_jun,314.175,2.67
CUUR0000SA0,2025,M07,2025 Jul,323.048,2025-M07,2025_jul,314.54,2.7
CUUR0000SA0,2025,M08,2025 Aug,323.976,2025-M08,2025_aug,314.796,2.92
CUUR0000SA0,2025,M09,2025 Sep,324.8,2025-M09,2025_sep,315.301,3.01
CUUR0000SA0,2025,M10,2025 Oct,,2025-M10,2025_oct,315.664,
CUUR0000SA0,2025,M11,2025 Nov,324.122,2025-M11,2025_nov,315.493,2.74
CUUR0000SA0,2025,M12,2025 Dec,324.054,2025-M12,2025_dec,315.605,2.68
