cpi_category,year,month,mean_tariff,median_tariff,max_tariff,tariff_count
All Other Services Goods,2023,7,445.13,0.01,9999.99,7796
All Other Services Goods,2024,1,308.59,0.01,10000.0,7681
All Other Services Goods,2024,5,308.59,0.01,10000.0,7681
All Other Services Goods,2025,1,489.3,0.02,10000.0,7828
Apparel,2023,7,546.59,0.07,9999.99,1720
Apparel,2024,1,530.07,0.08,10000.0,1717
Apparel,2024,5,530.07,0.08,10000.0,1717
Apparel,2025,1,536.52,0.08,10000.0,1715
Food,2023,7,892.88,0.0,9999.99,1120
Food,2024,1,650.81,0.0,10000.0,1091
Food,2024,5,650.81,0.0,10000.0,1091
Food,2025,1,650.81,0.0,10000.0,1091
Housing,2023,7,487.36,0.0,9999.99,1067
Housing,2024,1,452.42,0.0,10000.0,1061
Housing,2024,5,452.42,0.0,10000.0,1061
Housing,2025,1,804.4,0.0,10000.0,1094
Medical,2023,7,0.01,0.0,0.06,66
Medical,2024,1,0.01,0.0,0.07,66
Medical,2024,5,0.01,0.0,0.07,66
Medical,2025,1,0.01,0.0,0.07,66
Transportation,2023,7,89.11,0.02,9999.99,898
Transportation,2024,1,89.12,0.02,10000.0,898
Transportation,2024,5,89.12,0.02,10000.0,898
Transportation,2025,1,230.54,0.02,10000.0,911
