Feature,Coefficient,Abs_Coefficient
mean_cpi_yoy_roll3_is_missing,1.1984726672862993,1.1984726672862993
mean_cpi_yoy_roll6_is_missing,1.1984726672862993,1.1984726672862993
mean_cpi_yoy_lag1_is_missing,0.843311197303876,0.843311197303876
mean_cpi_yoy_lag1,0.8388870960937007,0.8388870960937007
mean_cpi_yoy_roll3,-0.4111627587486131,0.4111627587486131
mean_cpi_yoy_roll6,0.3801626823874826,0.3801626823874826
mean_value_lag1_is_missing,-0.35516146998242265,0.35516146998242265
avg_mfn_rate_is_missing,0.11981035965006809,0.11981035965006809
median_mfn_rate_is_missing,0.11981035965006795,0.11981035965006795
codes_with_tariffs_is_missing,0.11981035965006781,0.11981035965006781
avg_mfn_rate_lag1_is_missing,0.07703177008327076,0.07703177008327076
mean_value_lag1,0.0036096473190063093,0.0036096473190063093
mean_value_lag12,-0.002061029542394611,0.002061029542394611
codes_with_tariffs,-0.0003200854061370218,0.0003200854061370218
avg_mfn_rate,-4.440892098500626e-16,4.440892098500626e-16
median_mfn_rate,3.3306690738754696e-16,3.3306690738754696e-16
series_count_is_missing,0.0,0.0
avg_mfn_rate_lag1,0.0,0.0
mean_value_is_missing,0.0,0.0
