Feature,Importance
mean_cpi_yoy_lag1,0.5647846448203732
mean_cpi_yoy_roll3,0.17746275314334617
mean_cpi_yoy_roll6,0.07997724300045375
codes_with_tariffs,0.05777596016519365
mean_value_lag1,0.05124272540184798
mean_value_lag12,0.0314684882995634
mean_cpi_yoy_roll3_is_missing,0.028473984225775035
mean_cpi_yoy_roll6_is_missing,0.008580704595649693
mean_cpi_yoy_lag1_is_missing,0.00023349634779704353
median_mfn_rate,0.0
avg_mfn_rate,0.0
series_count_is_missing,0.0
mean_value_is_missing,0.0
avg_mfn_rate_lag1,0.0
mean_value_lag1_is_missing,0.0
avg_mfn_rate_is_missing,0.0
median_mfn_rate_is_missing,0.0
codes_with_tariffs_is_missing,0.0
avg_mfn_rate_lag1_is_missing,0.0
